file,genre,total,a,b,p_a_s,p_b_s,dendro_color
松江印象記,紀行文,58,21,0,0.3644067796610170,0.0084745762711864,緑
第四の夫から,小説,87,30,0,0.3465909090909090,0.0056818181818181,緑
続芭蕉雑記,評論,76,27,0,0.3571428571428570,0.0064935064935064,緑
闇中問答,小説,324,111,0,0.343076923076923,0.0015384615384615,緑
僻見,評論,600,205,0,0.3419301164725460,0.0008319467554076,緑
西方の人,小説,516,176,0,0.3413926499032880,0.0009671179883945,緑
文芸的な、余りに文芸的な,文学論,1892,571,2,0.3019017432646590,0.0013206550449022,緑
南瓜,小説,93,29,0,0.3138297872340430,0.0053191489361702,緑
芸術その他,文学論,135,45,0,0.3345588235294120,0.0036764705882352,緑
リチヤアド・バアトン訳「一千一夜物語」に就いて,談話,117,38,0,0.326271186440678,0.0042372881355932,緑
金春会の「隅田川」,劇評,113,36,0,0.3201754385964910,0.0043859649122807,緑
点心,随筆,252,82,0,0.3260869565217390,0.0019762845849802,緑
羅生門,小説,161,49,0,0.3055555555555560,0.0030864197530864,緑
羅生門_1,小説,162,51,0,0.3159509202453990,0.0030674846625766,緑
又一説？,アンケート,21,9,0,0.4318181818181820,0.0227272727272727,緑
龍村平蔵氏の芸術,評論,23,10,0,0.4375,0.0208333333333333,緑
槍ヶ嶽紀行,紀行文,123,49,3,0.3991935483870970,0.0282258064516129,緑
侏儒の言葉,断章,1241,469,26,0.3780193236714980,0.0213365539452496,緑
侏儒の言葉_1,断章,1050,403,26,0.3839200761179830,0.0252140818268315,緑
野人生計事,随筆,142,54,3,0.3811188811188810,0.0244755244755244,緑
或敵打の話,小説,274,96,8,0.3509090909090910,0.0309090909090909,緑
「仮面」の人々,回想,20,7,0,0.3571428571428570,0.0238095238095238,緑
猿蟹合戦,小説,65,23,1,0.3560606060606060,0.0227272727272727,緑
発句私見,評論,43,17,0,0.3977272727272730,0.0113636363636363,緑
入社の辞,感想,29,11,0,0.3833333333333330,0.0166666666666666,緑
讀書の態度,随筆,32,12,0,0.3787878787878790,0.0151515151515151,緑
塵労,小説,25,8,0,0.3269230769230770,0.0192307692307692,緑
