file,genre,total,a,b,p_a_s,p_b_s
春の日のさした往来をぶらぶら一人歩いてゐる,随筆,41,4,0,0.10714285714285714,0.011904761904761904
偸盗,小説,1439,157,13,0.109375,0.009375
春の夜は,断章,51,5,0,0.10576923076923077,0.009615384615384616
仙人_2,小説,26,2,0,0.09259259259259259,0.018518518518518517
岩野泡鳴氏,人物記,25,2,0,0.09615384615384616,0.019230769230769232
産屋,小説,30,3,0,0.11290322580645161,0.016129032258064516
兄貴のような心持,人物記,22,2,0,0.10869565217391304,0.021739130434782608
横須賀小景,散文詩,21,2,0,0.11363636363636363,0.022727272727272728
創作,小説,75,10,0,0.13815789473684212,0.006578947368421052
パステルの龍,翻訳,57,8,0,0.14655172413793102,0.008620689655172414
人及び芸術家としての薄田泣菫氏,人物記,71,10,0,0.14583333333333334,0.006944444444444444
僕は,断章,40,6,0,0.15853658536585366,0.012195121951219513
水の三日,初期文章,131,20,1,0.1553030303030303,0.011363636363636364
死後,小説,127,18,1,0.14453125,0.01171875
漱石山房の秋,小説,37,5,0,0.14473684210526316,0.013157894736842105
父,小説,124,19,0,0.156,0.004
続文芸的な、余りに文芸的な,評論,154,22,0,0.14516129032258066,0.0032258064516129032
葬儀記,記録文,140,20,0,0.1453900709219858,0.0035460992907801418
トロツコ,小説,151,17,0,0.11513157894736842,0.003289473684210526
トロッコ_1,小説,151,18,0,0.12171052631578948,0.003289473684210526
百合,小説,203,25,0,0.125,0.0024509803921568627
悠々荘,小説,74,9,0,0.12666666666666668,0.006666666666666667
遺書,遺書,91,10,0,0.11413043478260869,0.005434782608695652
奇怪な再会,小説,731,126,86,0.17281420765027322,0.11816939890710383
悪魔,小説,45,8,5,0.18478260869565216,0.11956521739130435
結婚難並びに恋愛難,小説,77,14,7,0.1858974358974359,0.09615384615384616
貝殼,随筆,163,27,15,0.1676829268292683,0.09451219512195122
じゅりあの・吉助,小説,58,6,5,0.11016949152542373,0.09322033898305085
お律と子等と,小説,1011,118,95,0.11709486166007906,0.09436758893280632
子供の病気,小説,253,30,24,0.12007874015748031,0.09645669291338582
六の宮の姫君,小説,208,28,17,0.13636363636363635,0.08373205741626795
春,小説,339,48,27,0.1426470588235294,0.08088235294117647
青年と死,戯曲,220,30,21,0.13800904977375567,0.09728506787330317
煙草と悪魔,小説,175,26,17,0.15056818181818182,0.09943181818181818
雑信一束,紀行文,56,8,5,0.14912280701754385,0.09649122807017543
母,小説,335,35,47,0.1056547619047619,0.14136904761904762
古千屋,小説,98,14,12,0.14646464646464646,0.12626262626262627
冬,小説,188,22,23,0.11904761904761904,0.12433862433862433
私の好きなロマンス中の女性,アンケート,3,0,0,0.125,0.125
戯作三昧,小説,665,85,81,0.12837837837837837,0.12237237237237238
戯作三昧_1,小説,665,85,82,0.12837837837837837,0.12387387387387387
文放古,小説,133,23,21,0.17537313432835822,0.16044776119402984
文章,小説,240,47,37,0.1970954356846473,0.15560165975103735
東西問答,随筆,51,8,9,0.16346153846153846,0.18269230769230768
三つの宝,戯曲,328,46,58,0.1413373860182371,0.1778115501519757
西郷隆盛,小説,319,43,60,0.1359375,0.1890625
仙人_1,小説,123,9,21,0.07661290322580645,0.17338709677419356
神神の微笑,小説,308,25,54,0.0825242718446602,0.17637540453074432
おしの,小説,150,21,36,0.1423841059602649,0.24172185430463577
アグニの神,小説,278,30,65,0.10931899641577061,0.23476702508960573
アグニの神_1,小説,278,30,64,0.10931899641577061,0.23118279569892472
一人の無名作家,アンケート,14,1,3,0.1,0.23333333333333334
杜子春,小説,267,26,59,0.09888059701492537,0.22201492537313433
杜子春_1,小説,267,27,58,0.10261194029850747,0.21828358208955223
奇遇,小説,219,27,47,0.125,0.2159090909090909
新緑の庭,断章,22,2,4,0.10869565217391304,0.1956521739130435
饒舌,小説,60,6,12,0.10655737704918032,0.20491803278688525
イズムと云ふ語の意味次第,評論,21,0,4,0.022727272727272728,0.20454545454545456
永久に不愉快な二重生活,アンケート,13,0,2,0.03571428571428571,0.17857142857142858
白,小説,316,11,67,0.03627760252365931,0.21293375394321767
奉教人の死,小説,337,16,30,0.04881656804733728,0.09023668639053255
犬と笛,小説,234,12,27,0.05319148936170213,0.11702127659574468
道祖問答,小説,74,6,5,0.08666666666666667,0.07333333333333333
往生絵巻,戯曲,174,11,12,0.06571428571428571,0.07142857142857142
沙羅の花,詩歌,8,0,0,0.05555555555555555,0.05555555555555555
俊寛,小説,524,10,62,0.02,0.11904761904761904
病中雑記,随筆,71,1,4,0.020833333333333332,0.0625
鬼ごつこ,小説,19,0,1,0.025,0.075
開化の良人,小説,251,61,114,0.24404761904761904,0.45436507936507936
舞踏会,小説,128,50,20,0.39147286821705424,0.15891472868217055
haruno_shinzo,翻訳,134,43,25,0.32222222222222224,0.18888888888888888
片恋,小説,182,55,34,0.30327868852459017,0.1885245901639344
或日の大石内蔵助,小説,214,46,65,0.21627906976744185,0.30465116279069765
文芸鑑賞講座,文学論,299,86,89,0.28833333333333333,0.29833333333333334
沼地,小説,62,19,17,0.30952380952380953,0.2777777777777778
