file,genre,total,a,b,p_a_s,p_b_s,dendro_color
漱石山房の秋,小説,37,0,3,0.0131578947368421,0.0921052631578947,赤
霜夜,随筆,38,0,3,0.0128205128205128,0.0897435897435897,赤
兄貴のような心持,人物記,22,0,2,0.0217391304347826,0.108695652173913,赤
煙草と悪魔,小説,175,2,22,0.0142045454545454,0.1278409090909090,赤
伝吉の敵打ち,小説,189,2,22,0.0131578947368421,0.1184210526315790,赤
産屋,小説,30,0,3,0.0161290322580645,0.1129032258064520,赤
追憶,回想,401,6,48,0.0161691542288557,0.1206467661691540,赤
芋粥,小説,419,0,69,0.0011904761904761,0.1654761904761900,赤
しるこ,随筆,38,0,8,0.0128205128205128,0.2179487179487180,赤
愛読書の印象,随筆,43,0,9,0.0113636363636363,0.2159090909090910,赤
一つの作が出来上るまで,随筆,44,0,9,0.0111111111111111,0.2111111111111110,赤
身のまはり,随筆,44,0,9,0.0111111111111111,0.2111111111111110,赤
支那の画,随筆,54,0,12,0.009090909090909,0.2272727272727270,赤
鼻,小説,165,1,36,0.0090361445783132,0.2198795180722890,赤
リチヤアド・バアトン訳「一千一夜物語」に就いて,談話,117,1,27,0.0127118644067796,0.2330508474576270,赤
二人の友,回想,45,0,10,0.0108695652173913,0.2282608695652170,赤
島木赤彦氏,追悼文,48,0,11,0.010204081632653,0.2346938775510200,赤
蒐書,随筆,27,0,6,0.0178571428571428,0.2321428571428570,赤
世の中と女,随筆,29,0,6,0.0166666666666666,0.2166666666666670,赤
俳画展覧会を観て,評論,28,0,6,0.0172413793103448,0.2241379310344830,赤
春の夜,小説,86,1,17,0.0172413793103448,0.2011494252873560,赤
風変りな作品に就いて,随筆,36,0,7,0.0135135135135135,0.2027027027027030,赤
枯野抄,小説,135,0,28,0.0036764705882352,0.2095588235294120,赤
わが散文詩,散文詩,151,0,29,0.0032894736842105,0.194078947368421,赤
大久保湖州,評論,340,1,66,0.0043988269794721,0.1950146627565980,赤
酒虫,小説,199,1,39,0.0075,0.1975,赤
孤独地獄,小説,89,0,19,0.0055555555555555,0.2166666666666670,赤
長江游記,紀行文,233,1,49,0.0064102564102564,0.2115384615384620,赤
お時儀,小説,143,0,32,0.0034722222222222,0.2256944444444440,赤
十円札,小説,281,0,58,0.00177304964539,0.2074468085106380,赤
芭蕉雑記,評論,478,0,106,0.0010438413361169,0.2223382045929020,赤
おぎん,小説,169,2,25,0.0147058823529411,0.15,赤
あばばばば,小説,261,3,36,0.0133587786259541,0.1393129770992370,赤
槍ヶ嶽紀行,紀行文,123,1,17,0.0120967741935483,0.1411290322580650,赤
僕は,断章,40,0,6,0.0121951219512195,0.1585365853658540,赤
豊島与志雄氏の事,人物記,40,0,6,0.0121951219512195,0.1585365853658540,赤
大正十二年九月一日の大震に際して,随筆,311,4,50,0.0144230769230769,0.1618589743589740,赤
滝田哲太郎氏,追悼文,38,0,6,0.0128205128205128,0.1666666666666670,赤
東西問答,随筆,51,0,8,0.0096153846153846,0.1634615384615380,赤
celt_no_hakumei,翻訳,148,1,22,0.0100671140939597,0.1510067114093960,赤
文章,小説,240,2,37,0.0103734439834024,0.1556016597510370,赤
日本小説の支那訳,評論,50,0,9,0.0098039215686274,0.1862745098039220,赤
少年,小説,559,6,105,0.0116071428571428,0.1883928571428570,赤
悪魔,小説,45,0,8,0.0108695652173913,0.1847826086956520,赤
ひょっとこ,小説,173,2,30,0.014367816091954,0.1752873563218390,赤
滝田哲太郎君,追悼文,41,0,7,0.0119047619047619,0.1785714285714290,赤
或日の大石内蔵助,小説,214,2,37,0.0116279069767441,0.1744186046511630,赤
本所両国,随筆,782,9,134,0.01213282247765,0.1717752234993610,赤
本の事,随筆,110,0,19,0.0045045045045045,0.1756756756756760,赤
鴉片,随筆,117,0,20,0.0042372881355932,0.173728813559322,赤
貉,小説,70,0,11,0.0070422535211267,0.1619718309859160,赤
手巾,小説,197,1,35,0.0075757575757575,0.1792929292929290,赤
本所両国_1,随筆,753,5,134,0.0072944297082228,0.1783819628647220,赤
蜜柑_1,小説,59,0,10,0.0083333333333333,0.175,赤
蜜柑_2,小説,59,0,10,0.0083333333333333,0.175,赤
さまよえる猶太人,小説,185,1,31,0.0080645161290322,0.1693548387096770,赤
蜜柑,小説,60,0,10,0.0081967213114754,0.1721311475409840,赤
槐,随筆,21,0,4,0.0227272727272727,0.2045454545454550,赤
小説の読者,評論,23,0,4,0.0208333333333333,0.1875,赤
鴨猟,追悼文,18,0,3,0.0263157894736842,0.1842105263157890,赤
