file,genre,total,a,b,p_a_s,p_b_s
続野人生計事,随筆,492,20,69,0.04158215010141988,0.140973630831643
都会で,随筆,40,1,5,0.036585365853658534,0.13414634146341464
仙人,小説,140,4,19,0.031914893617021274,0.13829787234042554
久米正雄,人物記,17,0,2,0.027777777777777776,0.1388888888888889
毛利先生,小説,285,8,41,0.02972027972027972,0.1451048951048951
上海游記,紀行文,1174,37,147,0.031914893617021274,0.125531914893617
パステルの龍,翻訳,57,1,7,0.02586206896551724,0.12931034482758622
女,小説,53,1,6,0.027777777777777776,0.12037037037037036
偽者二題,随筆,27,1,2,0.05357142857142857,0.08928571428571429
父,小説,124,6,10,0.052,0.084
夢_1,随筆,27,1,3,0.05357142857142857,0.125
首が落ちた話,小説,197,11,22,0.05808080808080808,0.11363636363636363
南京の基督,小説,235,10,23,0.04449152542372881,0.09957627118644068
葱,小説,201,8,23,0.04207920792079208,0.11633663366336634
東京小品,小説,112,4,12,0.03982300884955752,0.11061946902654868
沼,小説,39,1,4,0.0375,0.1125
食物として,随筆,15,0,3,0.03125,0.21875
犬養君に就いて,人物記,12,0,3,0.038461538461538464,0.2692307692307692
佐藤春夫氏,人物記,33,1,8,0.04411764705882353,0.25
羅生門,小説,161,7,37,0.046296296296296294,0.23148148148148148
煙管,小説,201,12,34,0.06188118811881188,0.1707920792079208
僕の友だち二三人,人物記,64,3,12,0.05384615384615385,0.19230769230769232
clarimonde,翻訳,849,35,165,0.04176470588235294,0.19470588235294117
漱石山房の冬,小説,80,3,15,0.043209876543209874,0.19135802469135801
二人の紅毛畫家,評論,14,0,2,0.03333333333333333,0.16666666666666666
忘れられぬ印象,紀行文,13,0,2,0.03571428571428571,0.17857142857142858
野呂松人形,小説,107,3,19,0.032407407407407406,0.18055555555555555
谷崎潤一郎氏,人物記,31,1,5,0.046875,0.171875
balthasar,翻訳,414,20,64,0.04939759036144578,0.15542168674698795
合理的、同時に多量の人間味,人物記,34,1,5,0.04285714285714286,0.15714285714285714
老年,小説,100,4,16,0.04455445544554455,0.16336633663366337
葬儀記,記録文,140,0,12,0.0035460992907801418,0.08865248226950355
案頭の書,随筆,88,0,6,0.0056179775280898875,0.07303370786516854
道祖問答,小説,74,0,5,0.006666666666666667,0.07333333333333333
結婚難並びに恋愛難,小説,77,0,11,0.00641025641025641,0.14743589743589744
金将軍,小説,91,0,13,0.005434782608695652,0.14673913043478262
舞踏会,小説,128,0,17,0.003875968992248062,0.13565891472868216
人及び芸術家としての薄田泣菫氏,人物記,71,0,9,0.006944444444444444,0.13194444444444445
樗牛の事,評論,90,0,12,0.005494505494505495,0.13736263736263737
或敵打の話,小説,274,0,29,0.0018181818181818182,0.10727272727272727
虱,小説,129,0,14,0.0038461538461538464,0.11153846153846154
おしの,小説,150,0,18,0.0033112582781456954,0.12251655629139073
忠義,小説,445,1,53,0.0033632286995515697,0.11995515695067265
点鬼簿,小説,163,0,19,0.003048780487804878,0.11890243902439024
続文芸的な、余りに文芸的な,評論,154,1,19,0.00967741935483871,0.12580645161290321
じゅりあの・吉助,小説,58,0,6,0.00847457627118644,0.11016949152542373
